source_table, destination_table, source_field, target_field, field_type
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,_row_etag,rowETag,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,_data_etag_at_modification,dataETagAtModification,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,_deleted,deleted,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,_create_user,createUser,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,_form_id,formId,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,_locale,locale,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,_savepoint_type,savepointType,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,_savepoint_creator,savepointCreator,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,_last_update_user,lastUpdateUser_cold_room_maintenance_logs,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,_savepoint_timestamp,savepointTimestamp_cold_room_maintenance_logs,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,actions_taken,actions_taken,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,cold_room_id,cold_room_id,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,date_serviced,date_serviced,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,other_maintenance_notes,other_maintenance_notes,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,other_repair_notes,other_repair_notes,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,other_spare_parts,other_spare_parts,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,preventative_notes,preventative_notes,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,repair_notes,repair_notes,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,serviced_by,serviced_by,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,spare_parts,spare_parts,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,technician_name,technician_name,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,technician_phone,technician_phone,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,total_hrs_of_operation_unit1,total_hrs_of_operation_unit1,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,total_hrs_of_operation_unit2,total_hrs_of_operation_unit2,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,type_of_maintenance,type_of_maintenance,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,type_of_preventative_maintenance,type_of_preventative_maintenance,
cold_room_maintenance_logs,cold_room_maintenance_logs_odkx,type_of_repair,type_of_repair,
